full_model,kernel_family,n_lipids,r2_full_median,r2_best_single_median,d_r2_mean,d_r2_median,r2_win_rate,d_corr_mean,d_corr_median,corr_win_rate
[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),5,0.40726906319280937,0.36592746273900156,0.03071334316821951,0.0413416004538078,0.8,0.03521396130307564,0.030851570752336133,1.0
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot10,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.407187362669849,0.36592746273900156,0.028013879204582447,0.041237109027577046,0.8,0.034240787773686235,0.03241360451970421,1.0
[full] SPECTRAL-5-4-K1300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.40716348098647237,0.36592746273900156,0.02078843695039504,0.04123601824747081,0.8,0.031282700678543156,0.028046206603870805,1.0
[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.9710,whole-brain Riemann manifold latent GP (inducing-point),5,0.4066247422699951,0.36592746273900156,0.028919382230498097,0.04069727953099356,0.8,0.03413729292487607,0.03666559816175574,1.0
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss-1-15-randomwalk-2-1.0-0.01-0.1-1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.40648536269888247,0.36592746273900156,0.03400518828459875,0.040557899959880905,0.8,0.04036537490671747,0.03997880262683828,1.0
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.4062099601451963,0.36592746273900156,0.02759767719944432,0.04028249740619472,0.8,0.0361431988779149,0.034408710339389526,1.0
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.0-learnspecw10,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.4060299088757112,0.36592746273900156,0.027186962101686234,0.04010244613670966,0.8,0.03523629129681287,0.03420089481007904,1.0
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.95-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.40507790852173753,0.36592746273900156,0.025375020542194315,0.039150445782735965,0.8,0.03488992602402349,0.035281018132653386,1.0
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.9-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.4048026159709518,0.36592746273900156,0.02727141272533016,0.03887515323195023,0.8,0.03391279377964179,0.03444775327400773,1.0
[full] SPECTRAL-5-4-K2300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.40472071978624446,0.36592746273900156,0.024260766009836652,0.0387932570472429,0.8,0.033140655704238645,0.03132844680824609,1.0
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.9-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.4046352339782864,0.36592746273900156,0.026510553324212337,0.038707771239284816,0.8,0.035762307291736746,0.035079030463576966,1.0
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.40449954359467477,0.36592746273900156,0.02532597280665642,0.03857208085567321,0.8,0.03424987299515678,0.037071323425723834,1.0
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss-1-15-randomwalk-2-1.0-0.01-0.1-1.0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.4041383670444463,0.36592746273900156,0.028723441875178855,0.038210904305444715,0.8,0.03478095347910423,0.033300529952202784,1.0
[full] MANIFOLD-RSAMPLE-5-4-K300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),5,0.4041218300733638,0.36592746273900156,0.0275275895965154,0.03819436733436221,0.8,0.03266963880603692,0.030050290850766825,1.0
[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-2000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.810,whole-brain Riemann manifold latent GP (inducing-point),5,0.4040637857710663,0.36592746273900156,0.030487801642047802,0.03813632303206471,0.8,0.03735895568865363,0.03354188744722075,1.0
