lipid,model,kernel_family,n_folds,n_runs,test_rmse_z_mean,test_rmse_z_median,test_rmse_z_min,test_rmse_z_max,test_corr_mean,test_corr_median,test_corr_min,test_corr_max,test_r2_mean,test_r2_median,test_r2_min,test_r2_max,mean_pred_std_z_mean,mean_pred_std_z_median,mean_pred_std_z_min,mean_pred_std_z_max,fit_sec_mean,fit_sec_median,fit_sec_min,fit_sec_max
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.97-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5735645101482748,0.5730911026652113,0.5231818595109277,0.6417316012880263,0.8213997920862299,0.8215826086030404,0.7768400809191698,0.8523883810843089,0.6689984867975778,0.6715539399611956,0.5881805519083056,0.726280741878688,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.9710,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.567538182388968,0.5731521460976688,0.5190039777687019,0.617555189901391,0.8253235161581305,0.8212977772183789,0.7963167091770897,0.8555708899564192,0.676590461699522,0.671453830342441,0.6186255874258568,0.7306348710602648,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.5708619814493703,0.5731495731871308,0.5227447497526652,0.6255014706545986,0.8232878008658693,0.8210518875974244,0.7909328513000977,0.8531144742690205,0.672705972572891,0.6714027795422094,0.6087479102089344,0.7267379266060234,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9710,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.5726581127835146,0.5734675714985866,0.5273089174356068,0.6314916901152549,0.8222470531766348,0.8216341428838203,0.7868287922199546,0.8507206279690133,0.6704851557400149,0.6710857996123685,0.6012182453153789,0.7219453055928884,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K1300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.95-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5793190689851251,0.5738061918379714,0.524616992199631,0.6652687115904943,0.8183042403789839,0.8214786712648567,0.767050735245694,0.8520654468269142,0.6616859146170692,0.6707103906441249,0.5574175413787237,0.7247770114954123,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.5733324530622925,0.5740592725336694,0.5267910228653044,0.6347562796677786,0.8218224265471782,0.8203036304428444,0.785720041318409,0.8509638367831951,0.6698237337515353,0.6703585849016603,0.5970844654223209,0.7224912182285262,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K300-reference-5-1000-faiss-1-15-randomwalk-2-1.0-0.01-0.1-1.0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5725377366041557,0.5740993426838557,0.5277584533827036,0.6303236499641404,0.8226860811317496,0.8211195413401862,0.7889424453999165,0.8515311008410249,0.6706837118980374,0.6703455850671058,0.6026920962958838,0.7214710148830967,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.9-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5750192511040797,0.5744817245526177,0.5250727448080352,0.6557461185371912,0.821878235495739,0.8204927782057231,0.7796921759359773,0.8519350549672701,0.6673495132944425,0.6699706590175509,0.5699970280234079,0.7242986126597559,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5785887255848869,0.5747295630548303,0.5240576858408917,0.6656229001596012,0.8186503915579761,0.8195724665323576,0.7684178773307679,0.8528830902996106,0.6627304771178686,0.669671101782612,0.5569461547831216,0.7253635419110892,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_cluster_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-clk64-sw1.0-cs010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5749407995738138,0.574798986494701,0.5192460360964587,0.6474602983339967,0.82006050112767,0.8195781621299691,0.7731514197505422,0.8557321535114085,0.6672427434383545,0.6695901976939584,0.580795162081252,0.7303835539981152,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K1300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.0-learnspecw10,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.576841082871137,0.5752047086535912,0.5256969786312995,0.6518043906957073,0.819950336822099,0.8210519532423275,0.771232358469445,0.8529771288624317,0.6651985293909146,0.6691252383222874,0.5751510362697978,0.7236426866579231,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.9-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5743759888877144,0.575388869394399,0.5220831055053697,0.6492557572906689,0.8221817090316887,0.8192859257836068,0.7813482570966854,0.8538845029589982,0.6678544182749193,0.6689233971682391,0.5784669616249201,0.727429230945869,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.95-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5741562486388339,0.5754570427733554,0.5178392477148498,0.6474204097885967,0.8220763665411666,0.8199347609315275,0.7812178924172948,0.8559279431017565,0.6681155604979212,0.6687884437811074,0.5808468129891655,0.7318425135261184,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_cluster_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-clk64-sw1.0-cs0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5755570240333122,0.5762170443805621,0.5229835849989513,0.6469325905373181,0.820626227049535,0.820034255721223,0.7790168271051883,0.8527591790758506,0.6665810475007499,0.667954042096986,0.5814782233006747,0.7264881698216448,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.95-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.572842161254139,0.5764549153443581,0.5231427631739684,0.6475275564187644,0.8221409482145895,0.8191278523991964,0.7773965124848009,0.8530218278057156,0.6699789916417345,0.6676994808858796,0.5807080636783439,0.7263216493387052,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5766574055138945,0.5764686550239808,0.5181785985028988,0.6537203964728739,0.8206141810957409,0.8202453502687719,0.7745188295743873,0.8558319290507038,0.6651214763764789,0.6676781382780634,0.5726496432353485,0.7314909400535716,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.910,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.5766623759109906,0.5763646676740377,0.5271923222077747,0.643747809839053,0.8192952242084137,0.8194243213518382,0.774980706314594,0.8503149262677097,0.6659598873758819,0.6676516682507702,0.5855887573274224,0.7220682554051738,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K1300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.9-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5789630470263021,0.5765795137282524,0.524737146175195,0.6559162118644446,0.8183902462836307,0.8193984840168063,0.7688439936796286,0.8536756723822329,0.6623338489316286,0.667554804541802,0.569773923013397,0.7246509274239121,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.9-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5734901205431087,0.5767881647254147,0.5214787742669612,0.6317200547211533,0.8229510095759774,0.82044456348907,0.7895270827805517,0.8541274819346776,0.6695087976802745,0.6672952221585936,0.6009297724631031,0.7280598879890278,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.574190777068426,0.5767385128157478,0.5304240188749464,0.6296758458387806,0.8204757664668185,0.819065608482423,0.7866146313174814,0.8487502887423094,0.6690089972957969,0.6672603236097134,0.6035083291672163,0.7186503602005505,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.910,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.5728246024174302,0.5768197601690217,0.5250767969622148,0.6393342520582697,0.8218403623322146,0.8186431685885576,0.780035080928129,0.8517575624515898,0.670298450496488,0.667196506733096,0.5912517141450929,0.7242943572919011,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K100-reference-5-1000-faiss-1-15-randomwalk-2-1.0-0.01-0.1-1.0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.576623172066393,0.5770158788156655,0.5226482339110192,0.6557825646395365,0.8204122264475544,0.8186852792095881,0.7775889185863432,0.8538493758182271,0.6652608502912426,0.6670502260574047,0.5699492279147921,0.7268388235896925,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.0-learnspecw10,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5759263663524465,0.5774838639806608,0.5248608814423444,0.6493180359844766,0.8211538272357409,0.8192312198071484,0.7800010173605231,0.8529723400209136,0.6663747323130981,0.6665035599443423,0.578386088145262,0.7245210551315653,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-8-K6000-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5895125386410633,0.5777056424104086,0.5315062569822213,0.6891769401842407,0.8126451129274763,0.819637349906118,0.7536173846589794,0.847840771773122,0.6488957541787729,0.6662533767313448,0.5250351451182875,0.7175010987887489,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9710,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.5809773585056728,0.5781888410498077,0.5305073934461808,0.6471967871607046,0.8168178302006677,0.8182127159843848,0.7770964188500838,0.848735139120997,0.6606151452209734,0.6655630081921986,0.5811363186888616,0.7185619054989392,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5775441193856882,0.5782934295094888,0.5224453413184752,0.6549128196923416,0.8192436010582034,0.8181000193154416,0.7723789507083456,0.8532368102303932,0.6642167169976605,0.6655524223620424,0.5710891986026264,0.7270508653346219,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.97-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5774439366986373,0.5784018011705053,0.5254687938056208,0.6514974594121269,0.8190606298502832,0.8182516369749124,0.7720081252965992,0.851740017878033,0.6644724809250233,0.6654418084070586,0.5755510603795441,0.7238825467364659,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.9-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5732092849578486,0.5787296094489129,0.5208000939658309,0.6462262717487719,0.8222172082958012,0.8172860550280644,0.7796177989567721,0.8539309706453918,0.6695551834313884,0.6650696680123334,0.5823916057016825,0.7287672621251817,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.9710,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.5728721465047831,0.5786662694445295,0.5271717464074154,0.6163557382493619,0.8210802048682448,0.8172908195049695,0.7925161640231067,0.8504454422779635,0.670607133304248,0.6649635712204898,0.6201056039270841,0.7220899497897557,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot10,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5769694713771151,0.5798785577289187,0.5252216250173884,0.6592917959460226,0.8200666675367811,0.8186056215473478,0.7677457840736549,0.8523374433437546,0.6649513305637353,0.6637343833102958,0.5653343277982681,0.7241422446140938,,,,,,,,
