run,fold,model,kernel_family,lipid_global_idx,lipid_name,slug,batch,test_rmse_z,test_corr,test_r2,mean_pred_std_z,fit_sec
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.910,fold_1,learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9,manifold,171,Hex2Cer 40:1;O2,Hex2Cer_40-1_O2,0,0.6817712187767029,0.7298429329730733,0.531465339613352,0.7270670533180237,1091.1212975025178
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9510,fold_1,learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.95,manifold,97,PC 35:1 PE 38:1,PC_35-1_PE_38-1,0,0.7960413694381714,0.115084220271787,-0.0180482802789474,0.9719906449317932,1091.370619058609
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9510,fold_1,learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.95,manifold,18,PA 36:1,PA_36-1,0,0.7464697360992432,0.4075597989346057,0.1390496084266393,0.8744639158248901,1091.370619058609
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9510,fold_1,learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.95,manifold,57,LPC 22:6,LPC_22-6,0,0.8351151943206787,0.5199857938059778,0.2662396992738204,0.8418895602226257,1091.370619058609
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9510,fold_1,learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.95,manifold,86,PE O-36:0 PE O-38:3,PE_O-36-0_PE_O-38-3,0,0.8067119717597961,0.6086712521031683,0.3639191683724012,0.8153711557388306,1091.370619058609
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9510,fold_1,learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.95,manifold,171,Hex2Cer 40:1;O2,Hex2Cer_40-1_O2,0,0.6797142624855042,0.7321220792610696,0.534288209301813,0.7267370820045471,1091.370619058609
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9710,fold_1,learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.97,manifold,97,PC 35:1 PE 38:1,PC_35-1_PE_38-1,0,0.7932010293006897,0.1197244677245011,-0.01079637917335,0.9719060063362122,1053.1377802371978
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9710,fold_1,learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.97,manifold,18,PA 36:1,PA_36-1,0,0.7418832778930664,0.4137680756693807,0.149596764839096,0.8805421590805054,1053.1377802371978
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9710,fold_1,learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.97,manifold,57,LPC 22:6,LPC_22-6,0,0.8343948721885681,0.521805979128553,0.2675048997561731,0.8462252020835876,1053.1377802371978
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9710,fold_1,learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.97,manifold,86,PE O-36:0 PE O-38:3,PE_O-36-0_PE_O-38-3,0,0.8104344606399536,0.6029132787867022,0.3580353444093306,0.822599470615387,1053.1377802371978
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9710,fold_1,learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.97,manifold,171,Hex2Cer 40:1;O2,Hex2Cer_40-1_O2,0,0.6821500062942505,0.7295011233830719,0.5309445046399768,0.7340468764305115,1053.1377802371978
