run,fold,kernel_family,failed,n_lipids,wall_time_sec,test_rmse_z_mean,test_rmse_z_median,test_corr_mean,test_corr_median,test_r2_mean,test_r2_median,mean_pred_std_z_mean,mean_pred_std_z_median,fit_sec_mean,fit_sec_median
FOLD-1-euclidean-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs1010,fold_1,euclidean,False,5,4028.5074005126953,0.7239476323127747,0.7300769686698914,0.5515590694458709,0.6151393310146024,0.33046740269148256,0.364588614499716,0.7748655676841736,0.7630611658096313,768.5328538417816,768.5328538417816
FOLD-1-euclidean-no-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs1010,fold_1,euclidean,False,5,2539.669049501419,0.7228448390960693,0.728076159954071,0.5531295265259523,0.614810295251302,0.33286632809157374,0.3694863032651683,0.7747488856315613,0.7632697820663452,481.6797352790833,481.6797352790833
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.910,fold_1,manifold,False,5,5469.990761041641,0.7741418600082397,0.7976112365722656,0.47520422346775304,0.5149734263028583,0.2545032412632967,0.2597862067225311,0.8469326496124268,0.8464758992195129,1091.1212975025178,1091.1212975025178
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9510,fold_1,manifold,False,5,5470.799360275269,0.7728105068206788,0.7960413694381714,0.4766846288753217,0.5199857938059778,0.2570896810191453,0.2662396992738204,0.8460904717445373,0.8418895602226257,1091.370619058609,1091.370619058609
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9710,fold_1,manifold,False,5,5281.027690172195,0.7724127292633056,0.7932010293006897,0.4775425849384417,0.521805979128553,0.25905702689424526,0.2675048997561731,0.8510639429092407,0.8462252020835876,1053.1377802371978,1053.1377802371978
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn310,fold_1,manifold,False,5,5419.420914411545,0.7816786766052246,0.7978120446205139,0.4653395548098091,0.4930145443591789,0.24241919521667424,0.2375923203544661,0.8504380583763123,0.8556113243103027,1080.8458778381348,1080.8458778381348
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.910,fold_1,manifold,False,5,3022.0260994434357,0.7742353081703186,0.7967336773872375,0.47483109597772916,0.5150136058608464,0.25433324108447997,0.2600180744440634,0.8458109259605407,0.8461671471595764,602.235601568222,602.235601568222
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.9510,fold_1,manifold,False,5,3031.488504886627,0.7727976083755493,0.7955523133277893,0.476504777365409,0.5200753069686855,0.2571753213030975,0.2663267424376878,0.8456040263175965,0.841655969619751,604.068819475174,604.068819475174
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.9710,fold_1,manifold,False,5,3033.8014357089996,0.7725325345993042,0.7931498885154724,0.4772438163519716,0.5218690132408512,0.25878539739962225,0.2675293905854707,0.8507139563560486,0.845823347568512,604.6523503303528,604.6523503303528
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn310,fold_1,manifold,False,5,3012.9791519641876,0.7819225549697876,0.7975424528121948,0.46502294730313043,0.4927428333110298,0.24193657537536523,0.2374372117689143,0.850517189502716,0.8550703525543213,600.1020098686218,600.1020098686218
FOLD-1-learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.910,fold_1,manifold,False,5,13188.18684887886,0.7187746047973633,0.7215905785560608,0.5543516534006947,0.6188240854059543,0.33765896834432213,0.373394498914452,0.7692204475402832,0.7523829936981201,2633.15133934021,2633.15133934021
FOLD-1-learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9510,fold_1,manifold,False,5,6878.818707227707,0.7193116545677185,0.7217530012130737,0.5536478525406198,0.6177343623430573,0.33712470446273296,0.3731411619594444,0.7725875854492188,0.757278323173523,1370.9434625148774,1370.9434625148774
FOLD-1-learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9710,fold_1,manifold,False,5,13734.8273396492,0.7196558117866516,0.7220916152000427,0.5530854773613203,0.6171839912693359,0.3368796399848414,0.3723817872198582,0.7737782597541809,0.7583945989608765,2740.633572483063,2740.633572483063
FOLD-1-learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn310,fold_1,manifold,False,5,13167.076600313187,0.721884024143219,0.7250747084617615,0.5500488537801603,0.6144955053814203,0.33212881594189897,0.3670665351159264,0.7664303541183471,0.750239908695221,2626.617266702652,2626.617266702652
FOLD-1-learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.910,fold_1,manifold,False,5,3295.447826862335,0.7189746856689453,0.721996009349823,0.5540703441797629,0.6196490307309118,0.33721044886954493,0.3738496466641264,0.768937623500824,0.7517408728599548,655.9634023666382,655.9634023666382
FOLD-1-learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.9510,fold_1,manifold,False,5,3290.8711659908295,0.7195268988609314,0.7224826812744141,0.5534206019382781,0.6183634017673271,0.3366083232862186,0.3736965524757896,0.7727015614509583,0.757487952709198,655.3411983966828,655.3411983966828
FOLD-1-learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.9710,fold_1,manifold,False,5,3307.876005411148,0.7197728037834168,0.722122311592102,0.5531837977941102,0.6179321581540387,0.33666773323983423,0.3732753314160513,0.773911988735199,0.7585271596908569,659.0712805271148,659.0712805271148
FOLD-1-learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn310,fold_1,manifold,False,5,3224.725553750992,0.7221526265144348,0.7252793312072754,0.5494890582767074,0.6149233916962646,0.33152020709847135,0.3674979341826456,0.7660989999771118,0.7495273947715759,642.1445356845855,642.1445356845855
FOLD-1-learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.910,fold_1,manifold,False,5,5534.008085489273,0.7414571404457092,0.7545512914657593,0.5239691785736622,0.5787289601875939,0.30556836285950356,0.3251674971284237,0.8073343634605408,0.8027237057685852,1103.6213639259338,1103.6213639259338
FOLD-1-learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9510,fold_1,manifold,False,5,5719.489155292511,0.7452982425689697,0.7632309198379517,0.5211741555460201,0.5759474876402355,0.3007894233769285,0.319762127254349,0.8162313103675842,0.8106962442398071,1140.8625473022462,1140.8625473022462
