fold,n_runs,n_lipids,test_rmse_z_mean,test_rmse_z_median,test_corr_mean,test_corr_median,test_r2_mean,test_r2_median,mean_pred_std_z_mean,mean_pred_std_z_median,fit_sec_mean,fit_sec_median
fold_6,28,140,0.7686128692967551,0.7665274143218994,0.5215891983643576,0.5875639792464183,0.3043662984235275,0.3424318482965218,0.8269726680857795,0.8406930565834045,1370.0323062470984,1117.462896156311
fold_1,28,140,0.7456908145121166,0.7605102062225342,0.5173744891425694,0.5760772677522538,0.29788667309857336,0.3199874216797062,0.8086724945477077,0.8164125978946686,972.90515548672,657.5173414468766
fold_2,28,140,0.7785610684326717,0.7819837629795074,0.5175057172487181,0.5673997926084959,0.29600660099723736,0.3189356465883853,0.8115595540830067,0.8222378492355347,932.2960863045286,982.9495050430298
fold_4,28,140,0.8786599401916776,0.8639383316040039,0.504998957845493,0.5494315531638596,0.2840370159078615,0.2939800927331282,0.8122089696781976,0.8178033232688904,768.7653578008925,659.7214695692062
fold_7,28,140,0.8786507512841906,0.8638878166675568,0.5051623966844055,0.5493042373568467,0.28405422561939375,0.2932757085159823,0.8121019465582712,0.8181564807891846,1016.4090453318187,804.7163298130035
fold_8,28,140,0.9006422404732023,0.8667941093444824,0.48325946462248925,0.5364910665188463,0.2575433958739663,0.27806149607990693,0.8094148835965566,0.8152234256267548,996.9624331491334,806.2269304990768
fold_5,28,140,0.900985900419099,0.8667935729026794,0.4829691952455628,0.5364943843793344,0.2569779324527458,0.275150170200984,0.809262718473162,0.8161429762840271,777.3396328023501,538.8030683517457
fold_3,28,140,0.7772427448204585,0.7943660020828247,0.4948593829203704,0.5236964708637989,0.2829867038845377,0.2682480273914716,0.8078548750707082,0.8150508105754852,1071.3661337784358,1064.788062119484
