model,kernel_family,is_full,n_lipids,n_folds,n_runs,test_r2_mean,test_r2_median,test_corr_mean,test_corr_median,test_rmse_z_mean,test_rmse_z_median
learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.95,manifold,False,5,8,8,0.28070781902258746,0.29620340257466166,0.5011673912068334,0.5499457990931751,0.8306795224547386,0.8001529574394226
learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3,manifold,False,5,8,8,0.2758600278477031,0.292474466707052,0.49625455839159766,0.5457641437981209,0.8333503007888794,0.8053596019744873
learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3,manifold,False,5,8,8,0.2745687707324821,0.29211611583977504,0.4953395107203177,0.5457974394155843,0.8341193363070488,0.8051956295967102
learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.95,manifold,False,5,8,8,0.24547432469012698,0.2635929644655735,0.46723548459147796,0.5152221125344768,0.8532398790121078,0.8327842652797699
learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.95,manifold,False,5,8,8,0.24529857948586625,0.26345586436196844,0.4672418180764538,0.5152545227238022,0.8534076198935509,0.8328275680541992
learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.97,manifold,False,5,8,8,0.2417818372587642,0.2591534032484416,0.4622622826314803,0.5106867422331192,0.8556448683142662,0.8351313173770905
learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.97,manifold,False,5,8,8,0.24202484855098022,0.25809695637567653,0.46287288258228265,0.5099925193221989,0.8555009081959725,0.8351372182369232
learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.9,manifold,False,5,8,8,0.24398360345892733,0.25676835039483975,0.46605683489649624,0.508421623425003,0.8541394159197807,0.8337382972240448
learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9,manifold,False,5,8,8,0.2438343885874205,0.25647980480889315,0.4661106778172721,0.5084221742744404,0.8542361557483673,0.8338466286659241
learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3,manifold,False,5,8,8,0.23195207097136059,0.23566892061143718,0.45536940277343857,0.4898204749851909,0.8615589797496795,0.8437671661376953
spectral-nu2-K100-stride4-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-lr0.05-ep20-lbs10-rootdissolve-dn3,spectral,False,5,8,8,0.2298740251567472,0.2349693080275403,0.45464248120156403,0.48837028414918693,0.8628682643175125,0.8446026742458344
learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3,manifold,False,5,8,8,0.23149446115528374,0.23417187574905218,0.4552852398158027,0.48994270706726095,0.8618365153670311,0.8437554240226746
