model,kernel_family,is_full,n_lipids,n_folds,n_runs,test_r2_mean,test_r2_median,test_corr_mean,test_corr_median,test_rmse_z_mean,test_rmse_z_median
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss-1-15-randomwalk-2-1.0-0.01-0.1-1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3703901395561341,0.40648536269888247,0.5883079201089301,0.6484194602143729,0.7789776126789406,0.7703955674417461
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.95-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.36614100554950824,0.4057315955991456,0.5861795128631178,0.6495061679008342,0.7817174790212196,0.7708879548541323
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.95-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.36457165224526433,0.40507790852173753,0.5858103825541388,0.6497710346877712,0.7827978237892932,0.7713109771956357
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.9-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3671719169850836,0.4048026159709518,0.5856264136226569,0.6466096119649365,0.780992950172996,0.7714893734572279
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.9-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3669933422636464,0.4046352339782864,0.5875864813855765,0.6471896037993037,0.7811163089488792,0.7715986784707884
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.36465244188667995,0.40449954359467477,0.5847647747133878,0.6464059955578234,0.7826261366638814,0.7716849822643426
[full] MANIFOLD-RSAMPLE-5-4-K300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.3659698528460327,0.4041218300733638,0.5850486084985809,0.642948584376924,0.7820981162957702,0.7719238671348219
[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-2000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.810,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.36971962128849695,0.4040637857710663,0.5885324830782664,0.6461168555759427,0.7788727278870247,0.7719682041076381
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss-1-15-randomwalk-2-1.0-0.01-0.1-1.0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3635173725787849,0.4037426575227655,0.5850545049520811,0.6476877474856213,0.7833595572948987,0.7721769555990802
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.0-learnspecw10,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3636966326008493,0.4034667827453702,0.5854862838593045,0.6480355735217715,0.7832707285899267,0.772355069691109
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.364769325099248,0.4034125418470918,0.5856594838902044,0.6486532678598724,0.7824987551594701,0.7723898947801461
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.97-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3655719442777178,0.4031832725678153,0.5852152692242855,0.6447027624679805,0.7820313242772874,0.7725386734755366
