lipid,model,family,n_folds,n_runs,r2_mean,r2_median,r2_min,r2_max,corr_mean,corr_median,corr_min,corr_max,rmse_mean,rmse_median,rmse_min,rmse_max,mae_mean,mae_median,mae_min,mae_max
Cer 36:1;O2,LGPALL-MEAN-5-data-2000-1000-learnind-ard10,lgp,8,8,0.4164076136044087,0.415143322127231,0.3352889858339724,0.4862598499566524,0.6555214217764458,0.6620910206520729,0.5947466324370252,0.6982924297672212,0.0002120293490802375,0.0002118979037171,0.0001979482137975,0.0002258363938731,0.00016259669496615002,0.00016324529693045002,0.0001501399925235,0.000173854952524
Cer 36:1;O2,LGPALL-MEAN-5-reference-2000-1000-learnind-ard10,lgp,8,8,0.41673662045776944,0.4067164925454848,0.3299262370884465,0.4957057563709616,0.6541827440738988,0.6535382435100219,0.5901172176589445,0.7046112838322737,0.0002119584506097,0.0002134322575728,0.0001974571650031,0.0002267455640867,0.000163018821199375,0.0001650045515247,0.0001516897231589,0.0001740314730187
Cer 36:1;O2,BASELINES-MLP-25610,baseline,8,8,0.4109318058156386,0.40637219367733246,0.3425395587049888,0.4800404487932248,0.6498568316034891,0.6504517319421754,0.5993025280946085,0.6942504037298609,0.00021307101364882502,0.00021348138606295,0.0002003181210557,0.0002246013200275,0.000164129496703975,0.0001645466405753,0.0001521736525516,0.0001738204574114
Cer 36:1;O2,MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9510,manifold,8,8,0.40362272218645456,0.39859600714040355,0.3247356287824323,0.4777557273489039,0.6457354065254859,0.6475781935966072,0.5863156212514828,0.6921203205496272,0.00021435801974951251,0.00021488280464335,0.0001999574601102,0.0002276220921683,0.000164605565298875,0.0001657702754695,0.0001526156483355,0.0001753154046538
Cer 36:1;O2,MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.9710,manifold,8,8,0.39827711421185774,0.3985723717750262,0.2746902475583461,0.4783000483203884,0.6420394511107848,0.6475446204552007,0.555687831712709,0.692993288073082,0.000215203618676125,0.00021488283512355002,0.0001989611656491,0.0002359061437286,0.00016509248142695,0.0001658215791496,0.0001510333918855,0.0001795439562483
Cer 36:1;O2,MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.910,manifold,8,8,0.4027931411009981,0.39646845843110345,0.3047170684512145,0.4819246164921811,0.6436376711822887,0.6430176124255165,0.5729362772225138,0.6963518583178222,0.000214475312839625,0.0002152483387053,0.000200138425818,0.0002309714373215,0.0001643073654731,0.00016575688558489998,0.000152117701548,0.0001774294139941
Cer 36:1;O2,MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9710,manifold,8,8,0.40405110259440946,0.3964149145372461,0.3264091285099506,0.4766252551742533,0.6467062569276851,0.6489950930218397,0.5879326380232371,0.6960064791793245,0.00021427586239954998,0.000215274039319,0.0002011352800915,0.0002273398606237,0.000164722535823225,0.00016682867307665002,0.0001533015261645,0.0001753014852924
Cer 36:1;O2,MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.9510,manifold,8,8,0.4018503175213751,0.39629519669982405,0.3167792769545939,0.4713394016437763,0.6440175558100152,0.6460803096372494,0.5820648940131428,0.6891286898115957,0.00021467933721405,0.00021529999675825,0.0001996183063409,0.0002289591521721,0.0001647731687932875,0.0001665597611808,0.0001515282181125,0.0001756508794097
Cer 36:1;O2,SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.0-learnspecw10,spectral,8,8,0.3971628413131606,0.39628617096619395,0.2927868570332939,0.4744833597507764,0.6408923704689266,0.6455517671815175,0.5648011476945196,0.6906002572504852,0.00021547191772461251,0.00021530193149270002,0.0002029669802574,0.0002329446038334,0.00016524088984502501,0.00016580940286355,0.0001545521141877,0.0001792855573505
Cer 36:1;O2,MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.910,manifold,8,8,0.39240983594550993,0.39390190344574555,0.2570308240453182,0.4775167777232711,0.6391469176879181,0.6448312538820726,0.5492617300293121,0.6922606246438714,0.0002162086635490375,0.0002157112226606,0.0001989860622534,0.0002387607261521,0.0001651265484163125,0.00016647945814625,0.0001512183572456,0.0001790362940124
